제목,언론사,날짜,링크
"대우건설, 국내 최대규모 '한국초저온 인천물류센터 신축사업' 수주...공...",아시아에이,20240302,http://www.asiaa.co.kr/news/articleView.html?idxno=161270
"대우건설, 비주택 부문 '힘싣기' 초저온 물류센터 수주",블로터,20240303,https://www.bloter.net/news/articleView.html?idxno=612915
"대우건설, 독립유공자 후손 집짓기에 2억 후원",뉴시스,20240304,http://www.newsis.com/view/?id=NISX20240304_0002646695&cID=10405&pID=10400
"대우건설, CGIF 보증으로 싱가포르서 자금조달 성공",조선비즈,20240305,https://biz.chosun.com/real_estate/real_estate_general/2024/03/05/E54NKAIGBVEWVDDYJ2MFAI33E4/?utm_source=naver&utm_medium=original&utm_campaign=biz
대우건설 공사현장서 20대 하청노동자 사망···7번째 중대재해 사고,한경비즈니스,20240306,https://magazine.hankyung.com/business/article/202403060361b
"대우건설, '평택 푸르지오 센터파인' 공급",뉴시스,20240307,http://www.newsis.com/view/?id=NISX20240307_0002651592&cID=10405&pID=10400
"대우건설, 은평푸르지오 부실시공 법적 공방",ESG경제,20240308,https://www.esgeconomy.com/news/articleView.html?idxno=6050
[대기업집단 브랜드평판] 1위 SK·2위 LG·3위 삼성,국제뉴스,20240309,https://www.gukjenews.com/news/articleView.html?idxno=2939481
창원 평성산단 대체사업자 물색 난항…5월 사업성 재검토 돌입,국제신문,20240310,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20240310.99099002245
"대우건설, 공주 천연가스발전소 주기기 구매 계약 체결",뉴시스,20240311,http://www.newsis.com/view/?id=NISX20240311_0002655414&cID=10405&pID=10400
"대우건설, 공주LNG발전소 주기기 공급",헤럴드경제,20240312,http://news.heraldcorp.com/view.php?ud=20240312050342
[부고] 백정완(대우건설 사장)씨 부친상,연합뉴스,20240313,https://www.yna.co.kr/view/AKR20240313030700003?input=1195m
"대우건설, 쿠웨이트서 3천300억원 규모 대출약정 체결",연합뉴스,20240314,https://www.yna.co.kr/view/AKR20240314064600003?input=1195m
"대우건설, '우수 협력사 동반성장 간담회' 개최",연합뉴스,20240315,https://www.yna.co.kr/view/PYH20240315027800003?input=1196m
"대우건설의 동반성장, 우수협력사에 계약우선권 및 계약이행보증금 50%...",스포츠서울,20240316,https://www.sportsseoul.com/news/read/1408441?ref=naver
"대우건설, 2024 우수협력회사 동반성장 간담회",남도일보,20240317,http://www.namdonews.com/news/articleView.html?idxno=762948
"대우건설, 북미·아프리카·동남아 '3대축'… 시행·시공 함께 뜬다",매일경제,20240318,https://www.mk.co.kr/article/10967326
"동부건설, 출자전환 유상증자 추진…대우건설·GS건설에 3자 배정",블로터,20240319,https://www.bloter.net/news/articleView.html?idxno=613680
"""건설회사 브랜드평판 ...1위 현대건설, 2위 삼성물산, 3위 대우건설""",뉴스인사이드,20240320,http://www.newsinside.kr/news/articleView.html?idxno=1765154
"[단독] 공사비 갈등에…대우건설, 행당7구역 '공사 중단' 가닥",한국경제TV,20240321,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202403210216&t=NN
"대우건설, iF 디자인서 3년 연속 수상",서울경제,20240322,https://www.sedaily.com/NewsView/2D6QHQN5PV
"대우건설·효성화학 등 232개社, 신보 보증 7300억 자금 조달",아시아경제,20240323,https://view.asiae.co.kr/article/2024032216115340096
"대우건설 푸르지오 스마트 스위치 2.0, iF 디자인 어워드 '본상'",남도일보,20240324,http://www.namdonews.com/news/articleView.html?idxno=764020
"정원주 대우건설 회장, '5억' 이상 보수 임원 등재",블로터,20240325,https://www.bloter.net/news/articleView.html?idxno=613899
"정원주 대우건설 회장 ""건설시장 어렵지만 해외 디벨로퍼로 성과 거둬야...",뉴스1,20240326,https://www.news1.kr/articles/5362159
[사진]대우건설 '해외건설대상' 종합대상 수상,머니투데이,20240327,http://news.mt.co.kr/mtview.php?no=2024032716184319568
"백정완 대우건설 사장 ""올해 수주 11조5000억 정조준""",머니S,20240328,https://www.moneys.co.kr/article/2024032816421457778
글로벌 디벨로퍼 여정 이끄는 '대우건설',머니S,20240329,https://www.moneys.co.kr/article/2024032514491169703
대우건설 ‘남동타운’ 채무보증 상향…“분양 기대감”,쿠키뉴스,20240330,http://www.kukinews.com/newsView/kuk202403290227
"‘수도권 출퇴근 30분’ 광역급행철도 시대 개막, 1기·2기 GTX 어디까지...",비즈니스포스트,20240331,https://www.businesspost.co.kr/BP?command=article_view&num=347486
"대우건설, '원주 푸르지오 더 센트럴' 분양",뉴시스,20240401,https://www.newsis.com/view/?id=NISX20240401_0002682559&cID=10405&pID=10400
"[더벨][PF 브릿지론 리스크 점검]대우건설, '10년 표류' 노들역 개발 관...",더벨,20240402,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202403281339130040102730
[부고] 손혜환(전 대우건설 부사장)씨 별세 외,독서신문,20240403,http://www.readersnews.com/news/articleView.html?idxno=111750
"대우건설, 3505억 상당 천안역전지구 도시개발사업 사업협약 해지",서울경제,20240404,https://www.sedaily.com/NewsView/2D7S5YQW86
"대우건설, ‘평택 푸르지오 센터파인’ 선착순 계약 진행",서울경제,20240405,https://www.sedaily.com/NewsView/2D7SMI6LHR
[분양브리프] 대우건설 DL이앤씨 DL건설 롯데건설 GS건설 外,비즈트리뷴,20240406,http://www.biztribune.co.kr/news/articleView.html?idxno=308878
"대우건설, 평택 푸르지오 센터파인 선착순 동·호 지정 일정 돌입…입주...",스포츠서울,20240407,https://www.sportsseoul.com/news/read/1416771?ref=naver
"""대우건설, 1분기 주택 분양은 연간 전망치 대비 13.3% 불과""",인사이트코리아,20240408,http://www.insightkorea.co.kr/news/articleView.html?idxno=133052
"대우건설, 레드닷 디자인 어워드 수상...그랜드 슬램 달성",동아일보,20240409,https://www.donga.com/news/Economy/article/all/20240409/124387924/1
"현대건설·대우건설 아파트 조경, 세계 3대 디자인상 수상",국민일보,20240410,https://www.kmib.co.kr/article/view.asp?arcid=1712646510&code=11151500&cp=nv
"현대·대우, 세계 디자인 어워드 석권…'K-건설' 경쟁력 과시",미디어펜,20240411,https://www.mediapen.com/news/view/911495
"대우건설, 일본 신용평가사 JCR서 'A-/안정적' 등급 획득",뉴스1,20240412,https://www.news1.kr/articles/5382695
"대우건설, '日 회사채 시장' 정조준 현지 신용등급 획득",블로터,20240413,https://www.bloter.net/news/articleView.html?idxno=614747
"대우건설, 세계 3대 디자인 어워드 그랜드슬램 달성",남도일보,20240414,http://www.namdonews.com/news/articleView.html?idxno=766846
"[주가동향] 대우건설 1분기 실적 감소 ""주택 둔화로 감소 시작""",조세일보,20240415,http://www.joseilbo.com/news/news_read.php?uid=514552&class=53&grp=
"현대건설, 지난해 ‘수도권 거주자’ 관심도 1위…대우건설·롯데건설順",글로벌이코노믹,20240416,http://www.g-enews.com/ko-kr/news/article/news_all/202404160756495717a96f092d0c_1/article.html
"대우건설, PF 우발채무 현실화 리스크 적어…해외 수주 기대-유안타",아이뉴스24,20240417,http://www.inews24.com/view/1709092
"대우건설, 이자 절감 '해외 자금조달'로 다변화",블로터,20240418,https://www.bloter.net/news/articleView.html?idxno=615034
"공정위, '하도급 대금 지연 지급' 대우건설 등 조사",SBS,20240419,https://news.sbs.co.kr/news/endPage.do?news_id=N1007617242&plink=ORI&cooper=NAVER
건설 연봉 1위 삼성물산 '1.4억원'… 남·녀 직원 근속 1위 대우·현대,머니S,20240420,https://www.moneys.co.kr/article/2024041916301798554
"대우건설, 작년 수도권 거주자 관심도 '2위'",남도일보,20240421,http://www.namdonews.com/news/articleView.html?idxno=767680
"대우건설 ‘평택 푸르지오 센터파인’, 펜트하우스 타입 무순위 청약",동아일보,20240422,https://www.donga.com/news/Economy/article/all/20240422/124597583/1
"대우건설, ESG경영 내재화 속도낸다…'친환경 에너지 시대 선도'",뉴스1,20240423,https://www.news1.kr/articles/5394162
"대우건설, 5월 '탕정 푸르지오 센터파크' 분양",뉴시스,20240424,https://www.newsis.com/view/?id=NISX20240424_0002711052&cID=10405&pID=10400
"신반포16차 재건축, 대우건설이 짓는다",한국경제,20240425,https://www.hankyung.com/article/2024042574721
"대우건설, 원자력 공급망 안전·품질 입증 'ISO 19443' 인증",연합뉴스,20240426,https://www.yna.co.kr/view/AKR20240426038700003?input=1195m
"대우건설, 티유브이 슈드의 ‘ISO 19443’ 인증 취득",NSP통신,20240427,https://www.nspna.com/news/?mode=view&newsid=695734
"대우건설, 국내 건설사 최초 원자력공급망 ISO 인증",디지털타임스,20240428,https://www.dt.co.kr/contents.html?article_no=2024042802109963075009&ref=naver
"대우건설, ‘평택 푸르지오 센터파인’ 펜트하우스 무순위 4가구에 444명...",조선비즈,20240429,https://biz.chosun.com/real_estate/real_estate_general/2024/04/29/PH7LZFXI2ZC7ZK2ZWRURC5PHIM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"대우건설 1Q 영업이익 1148억, 전년대비 35%↓…""내실경영 주력""",뉴시스,20240430,https://www.newsis.com/view/?id=NISX20240430_0002718102&cID=10405&pID=10400
"대우건설, 업황침체에도 1Q 선방…반등 핵심 '플랜트'",딜사이트,20240501,https://dealsite.co.kr/articles/121971
“플랜트 매출 부진”…대우건설 목표가 하향 이어져,매일경제,20240502,https://www.mk.co.kr/article/11005594
"대우건설, GPT-4 터보 모델 활용한 ‘바로레터 AI’ 개발",조선비즈,20240503,https://biz.chosun.com/real_estate/real_estate_general/2024/05/03/HUWG4GUM5JB2JJI4MVZUBSCTU4/?utm_source=naver&utm_medium=original&utm_campaign=biz
"대우건설, GPT-4 터보 모델 활용 '바로레터 AI' 서비스 개발",천지일보,20240504,https://www.newscj.com/news/articleView.html?idxno=3136258
"대형 건설사 실적 희비 엇갈려···삼성·현대는 성장, 대우·GS는 하락",경향신문,20240505,https://www.khan.co.kr/economy/real_estate/article/202405051620001
"대우건설, 대기업 디스플레이 단지 배후로 둬 '든든'",매일경제,20240506,https://www.mk.co.kr/article/11008220
수의계약만 `쏙쏙`… 서울 재건축 실속 챙기는 대우건설,디지털타임스,20240507,https://www.dt.co.kr/contents.html?article_no=2024050802101763075001&ref=naver
"대우건설, 이라크 영유아 교육센터 1기 졸업생 배출",뉴스1,20240508,https://www.news1.kr/articles/5408682
"[단독]대우건설, 본사 '유급 휴직' 검토…불황 타개책",아시아경제,20240509,https://view.asiae.co.kr/article/2024050909203204165
"대우건설, 동부간선도로 지하화 승인…올 하반기 착공",뉴시스,20240510,https://www.newsis.com/view/?id=NISX20240510_0002730108&cID=10405&pID=10400
"대우건설, '동부간선도로 지하화' 실시계획 승인…""2029년 개통""",AP신문,20240511,https://www.apnews.kr/news/articleView.html?idxno=3019214
500兆 원전해체 시장 '꿈틀' … 기술경쟁 나선 현대·대우건설,뉴데일리,20240512,https://biz.newdaily.co.kr/site/data/html/2024/05/10/2024051000068.html
"대우건설, 임직원 가족 모여 점자책 제작",매일경제,20240513,https://www.mk.co.kr/article/11014301
대우건설 '블랑 써밋 74' 오는 6월 분양,천지일보,20240514,https://www.newscj.com/news/articleView.html?idxno=3139400
"“북항 재개발 호재가 고스란히”…대우건설, ‘블랑 써밋 74’ 6월 분양",헤럴드경제,20240515,https://news.heraldcorp.com/view.php?ud=20240514050796
대우건설이 시공한 보츠와나-잠비아 국경의 카중굴라 대교,연합뉴스,20240516,https://www.yna.co.kr/view/PYH20240516005800371?input=1196m
"정원주 대우건설 회장, 캄보디아 총리 예방…현지진출 지원 요청",연합뉴스,20240517,https://www.yna.co.kr/view/AKR20240517061500003?input=1195m
"정원주 대우건설 회장, 캄보디아 총리 예방",세계일보,20240518,http://www.segye.com/newsView/20240518501908?OutUrl=naver
"대우건설, 부산 동구에 69층 랜드마크 '블랑 써밋 74' 내달 분양",머니투데이,20240519,http://news.mt.co.kr/mtview.php?no=2024051911283040881
"정원주 대우건설 회장, '해외시장 다각화' 노력 계속",미디어펜,20240520,https://www.mediapen.com/news/view/920810
"[단독] 대우건설 ""미지급 공사비 내놔"" 대치푸르지오써밋 상가 부지 가...",비즈한국,20240521,https://www.bizhankook.com/article/27637
"개포주공5, 재건축 시공사 선정 유찰…대우건설만 단독 참여",땅집고,20240522,https://realty.chosun.com/site/data/html_dir/2024/05/22/2024052200702.html
대우건설 '곰팡이 논란' 당진 아파트 재시공 범위 합의,스포츠조선,20240523,https://sports.chosun.com/life/2024-05-23/202405230100157120021980
"'원자력 토털 솔루션' 대우건설, 유럽 상용원전 증가세에 주목",뉴시스,20240524,https://www.newsis.com/view/?id=NISX20240523_0002746093&cID=10405&pID=10400
"대우건설, '원주 푸르지오 더 센트럴' 25일 선착순 계약",아시아타임즈,20240525,https://www.asiatime.co.kr/article/20240524500105
"대우건설 '써밋' 자체사업으로 부산 공략, 백정완 고수익 타운화 전략 ...",비즈니스포스트,20240526,https://www.businesspost.co.kr/BP?command=article_view&num=353379
"대우건설, 34번째 '푸르지오 가든 음악회' 개최",뉴시스,20240527,https://www.newsis.com/view/?id=NISX20240527_0002749156&cID=10405&pID=10400
"대우건설, 성남 '산성역 헤리스톤' 6월 분양",뉴시스,20240528,https://www.newsis.com/view/?id=NISX20240528_0002750837&cID=10405&pID=10400
"대우건설, 체코 신규원전 수주 총력전 나서",스포츠한국,20240529,https://sports.hankooki.com/news/articleView.html?idxno=6864123
"대우건설, 체코 신규원전 수주 총력전에 나서다.",파이낸스투데이,20240530,http://www.fntoday.co.kr/news/articleView.html?idxno=321677
"건설업 불황에도 주목받는 대우건설, 왜?",신동아,20240531,https://shindonga.donga.com/3/all/13/4969897/1
청약 흥행 필수조건 '역세권'…경쟁률 상위 단지 중 역세권 비중 85%,이투데이,20240601,https://www.etoday.co.kr/news/view/2365599
15년 만의 '한국형 원전' 수출…현대건설vs대우건설 경쟁,블로터,20240602,https://www.bloter.net/news/articleView.html?idxno=617101
"대우건설, 6월 '푸르지오 라디우스파크' 분양",뉴시스,20240603,https://www.newsis.com/view/?id=NISX20240603_0002758263&cID=10405&pID=10400
"대우건설, 자회사 대우에스티에 800억원 운영자금 지원",블로터,20240604,https://www.bloter.net/news/articleView.html?idxno=617263
"대우건설, 아프리카 대륙 정상급 지도자들 만나 시장 확대 활동",이코노미스트,20240605,https://economist.co.kr/article/view/ecn202406050011
"대우건설, 阿 정상과 사업 협력 논의",서울경제,20240606,https://www.sedaily.com/NewsView/2DACX82UWA
"대우건설, '푸르지오 스타셀라49' 6월 분양",데일리안,20240607,https://www.dailian.co.kr/news/view/1369352/?sc=Naver
"[분양초점]대우건설, '푸르지오 스타셀라49' 분양",메트로신문,20240608,http://www.metroseoul.co.kr/article/20240607500009
대우건설 시공 청라 오피스텔 본PF 전환 후 분양 개시,블로터,20240609,https://www.bloter.net/news/articleView.html?idxno=617373
"대우건설, 인재 파견·실탄 지원 '대우에스티' 구하기",블로터,20240610,https://www.bloter.net/news/articleView.html?idxno=617413
조계종 중앙신도회장에 정원주 대우건설 회장 단독 입후보...사실상 당...,BBS NEWS,20240611,https://news.bbsi.co.kr/news/articleView.html?idxno=3158961
[건설 브리핑] 현대건설·롯데건설·대우건설,나이스경제,20240612,http://www.niceeconomy.co.kr/news/articleView.html?idxno=83939
"대우건설 정원주 회장, 투르크서 현지 진출·협력 논의",연합뉴스,20240613,https://www.yna.co.kr/view/AKR20240613072800003?input=1195m
"대우건설, 신재생에너지 분야 기술개발 속도 낸다",머니S,20240614,https://www.moneys.co.kr/article/2024061413273455246
"대우건설, 부유식 해상풍력 자체모델 기본승인 획득",BBS NEWS,20240615,https://news.bbsi.co.kr/news/articleView.html?idxno=3159456
"대우건설, 국내 최대 15㎿급 부유식 해상풍력 모델 'MSPAR' 개발",블로터,20240616,https://www.bloter.net/news/articleView.html?idxno=617723
"""공사비 인상? 절반만 인정""…행당7구역·대우건설 합의",한국경제,20240617,https://www.hankyung.com/article/202406169328i
[건설 브리핑] 대우건설·현대건설·한화건설·부영그룹,나이스경제,20240618,http://www.niceeconomy.co.kr/news/articleView.html?idxno=83986
"대우건설, ‘푸르지오 스타셀라49’ 분양전시관 개관",동아일보,20240619,https://www.donga.com/news/Economy/article/all/20240619/125510103/1
TK신공항 건설 주관사 '대우건설' 유력…지역3사와 공동용역 착수,매일신문,20240620,https://www.imaeil.com/page/view/2024062016290173710
"대우건설, 부산 '블랑 써밋 74' 견본주택 개관",뉴시스,20240621,https://www.newsis.com/view/NISX20240621_0002781474
"[포토뉴스] 대우건설, '블랑 써밋 74' 견본주택 21일 개관",BBS NEWS,20240622,https://news.bbsi.co.kr/news/articleView.html?idxno=3160182
"대우건설, 7400억 규모 공공주택건설사업 낚아",머니투데이방송,20240623,https://news.mtn.co.kr/news-detail/2024062122431893315
대우건설 '블랑써밋74' 견본주택에 주말 1만여명 방문,뉴시스,20240624,https://www.newsis.com/view/NISX20240624_0002783848
"대우건설, '신길 AK 푸르지오' 분양",뉴스웨이,20240625,https://www.newsway.co.kr/news/view?ud=2024062421291624441
정원주 대우건설 회장 광폭행보…세계 시장 확대 위해 매달1회 중요 미...,뉴스1,20240626,https://www.news1.kr/articles/5459338
"대우건설, '산성역 헤리스톤' 28일 견본주택 개관",아이뉴스24,20240627,http://www.inews24.com/view/np/1735280
