제목,언론사,날짜,링크
"[강세 토픽] 2차전지 - 배터리 생산 테마, LG화학 +3.57%, 삼성SDI +2.22%",조선비즈,20200305,https://n.news.naver.com/article/366/0000482519?sid=004
"삼성 준법감시위 ""노조·승계·시민사회 소통 논의, 변화 요구할 것""",더팩트,20200306,https://n.news.naver.com/article/629/0000018056?sid=101
[표][(6일 기준/외국인보유율) 코스피 Top 20] LG생활건강우 외국인순매...,파이낸셜포스트,20200307,http://www.fintechpost.co.kr/news/articleView.html?idxno=103949
[머니+] 'LG화학-점유율' 'SK이노-기업문화' 최고···삼성SDI는 성장성...,서울경제,20200308,https://www.sedaily.com/NewsView/1Z04AJ5DOG
"삼성SDI 삼성전기 주가 6%대 급락, 삼성 전자계열사 모두 약세",비즈니스포스트,20200309,http://m.businesspost.co.kr/BP?command=mobile_view&idxno=167611
"삼성SDI 전영현 사장, 한국전지산업협회장 취임",연합뉴스,20200310,http://yna.kr/AKR20200310155200003?did=1195m
"삼성준법위 ""이재용, '경영권 승계' 관련 사과···무노조 원칙 버려라""",서울경제,20200311,https://n.news.naver.com/article/011/0003708045?sid=101
[단독]삼성 상반기 공채 한 달 연기…내주 온라인 리크루팅 돌입,이데일리,20200312,http://www.edaily.co.kr/news/newspath.asp?newsid=03063526625702664
"하나금투 ""삼성SDI, 전기차배터리 연내흑자 가능성…목표가↑""",뉴시스,20200313,http://www.newsis.com/view/?id=NISX20200313_0000954047&cID=10401&pID=10400
"""삼성SDI, 전기차 배터리 부문 연내 흑자전환 전망""",헤럴드경제,20200314,http://news.heraldcorp.com/view.php?ud=20200314000053
"하나금융투자 ""삼성SDI, 전기차배터리 연내흑자 가능성 """,이코노뉴스,20200315,http://www.econonews.co.kr/news/articleView.html?idxno=112382
"삼성SDI 주가 8% 삼성전기 7%대 급락, 삼성 전자계열 시총 9조 증발",비즈니스포스트,20200316,http://www.businesspost.co.kr/BP?command=article_view&num=168710
'車 배터리' 흑자전환 앞둔 삼성SDI…코로나19 유럽 확산에 '촉각',아시아투데이,20200317,http://m.asiatoday.co.kr/kn/view.php?key=20200316010009952
"삼성SDI 전영현 ""올해 창립 50주년…'초격차' 100년 기업 도약""",연합뉴스,20200318,http://yna.kr/AKR20200318065800003?did=1195m
"삼성SDI, 2분기 이후 정상화 기대 -IBK투자증권",머니투데이,20200319,http://news.mt.co.kr/mtview.php?no=2020031907424313502
"삼성證 ""삼성SDI, 올해 실적 하향 전망…목표가↓""",뉴시스,20200320,http://www.newsis.com/view/?id=NISX20200320_0000963111&cID=10401&pID=10400
"LG화학·삼성SDI 전지 장착 중국 전기차, 보조금 추천됐지만…'신중론'",폴리뉴스,20200321,http://www.polinews.co.kr/news/article.html?no=456843
"""LG화학·삼성전기·삼성SDI…대형株 사놓고 6개월만 기다려라""",한국경제,20200322,https://www.hankyung.com/finance/article/202003195758i
"키움증권 ""코로나19에 전기차 시장도 타격…삼성SDI 목표가↓""",연합뉴스,20200323,http://yna.kr/AKR20200323024500008?did=1195m
삼성SDI 취임 3년 전영현號…체질개선 성공 '10조 마술',아이뉴스24,20200324,http://www.inews24.com/view/1252335
LG화학·삼성SDI 美 배터리 공장 셧다운··· 실적 영향은?,서울경제,20200325,https://n.news.naver.com/article/011/0003714902?sid=101
