제목,언론사,날짜,링크
"디플 기아, KeSPA컵 결승 진출…젠지에 설욕",국민일보,20241207,https://www.kmib.co.kr/article/view.asp?arcid=0020926043&code=61162012&cp=nv
"현대차·기아, 4대 중 1대는 美서 팔려…36년 만에 최대",동아일보,20241208,https://www.donga.com/news/Economy/article/all/20241208/130592827/1
"막 내린 케스파컵…OK브리온, 디플 기아 꺾고 우승",한국경제,20241209,https://www.hankyung.com/article/202412094470i
"기아 노조, 尹 대통령 퇴진 요구하며 11일 부분파업",조선비즈,20241210,https://biz.chosun.com/industry/car/2024/12/10/TS4HB7EWOBGGFLLSYSMIRBF3R4/?utm_source=naver&utm_medium=original&utm_campaign=biz
"SK케미칼, 현대차·기아와 지속가능한 자동차 개발 협력",뉴시스,20241211,https://www.newsis.com/view/NISX20241211_0002992182
"우승팀 기아, ‘황금장갑’ 싹쓸이 할까…13일 KBO 시상식",한겨레,20241212,https://www.hani.co.kr/arti/sports/baseball/1172711.html
"기아 오토랜드 광주, '폐기물 매립 제로' 최고 등급 획득",노컷뉴스,20241213,https://www.nocutnews.co.kr/news/6260860?utm_source=naver&utm_medium=article&utm_campaign=20241213102235
"""소형갈까 준중형갈까?"" 기아 '셀토스 풀체인지' vs 기아 '스포티지'",엠투데이,20241214,https://www.autodaily.co.kr/news/articleView.html?idxno=525778
기아 오토랜드 광주 '폐기물 매립 제로' 최고등급 획득,오마이뉴스,20241215,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003088913&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"기아, 새 외국인 투수 아담 올러 영입",광주매일신문,20241216,http://www.kjdaily.com/article.php?aid=1734336121646697007
"[D리포트] 국토부 ""기아·현대 등 22개 차종, 30만 7천 대 차량 리콜""",SBS,20241217,https://news.sbs.co.kr/news/endPage.do?news_id=N1007915537&plink=ORI&cooper=NAVER
"'내가 꿈꾸는 PV5는?""…기아, 'PBV 아이디어 공모전' 개최",지디넷코리아,20241218,https://zdnet.co.kr/view/?no=20241218121444
“경품이 EV9·EV6·EV3”…기아 타이거즈 우승 이벤트 車 주인공들,매일경제,20241219,https://www.mk.co.kr/article/11198187
"""7년간 1000만대""…현대차·기아, 미국 성장 속도 비결은?",뉴시스,20241220,https://www.newsis.com/view/NISX20241219_0003004142
"현대차·기아 노사, 64세 정년연장 논의 外[금주의 산업계 이슈]",뉴시스,20241221,https://www.newsis.com/view/NISX20241220_0003004957
"기아, 콤팩트 SUV ‘시로스’ 세계 최초 공개…내년 인도 판매",이데일리,20241222,http://www.edaily.co.kr/news/newspath.asp?newsid=01197206639121144
"차봇, “올해의 수입차 BMW, 국산차는 기아”",헤럴드경제,20241223,https://biz.heraldcorp.com/article/10021211?ref=naver
"배우 이정현, 기아 생산직 지원했다 탈락…연봉은?",조선비즈,20241224,https://biz.chosun.com/entertainment/enter_general/2024/12/24/KKMJ26BFQRFTVHKE2WWQUKRJPY/?utm_source=naver&utm_medium=original&utm_campaign=biz
올해 가장 안전한 車 '기아 EV3·볼보 S60·벤츠 E200·현대 싼타페',뉴시스,20241225,https://www.newsis.com/view/NISX20241224_0003009324
"“수출주는 킹달러가 호재 아니야?”…현대차·기아 주가, 미지근한 이...",매일경제,20241226,https://www.mk.co.kr/article/11204341
"1470원 넘은 환율…현대차·기아, 역대급 실적 나올까?",뉴시스,20241227,https://www.newsis.com/view/NISX20241227_0003012028
'전참시' 기아 타이거즈 김도영 일상 공개,폴리뉴스,20241228,https://www.polinews.co.kr/news/articleView.html?idxno=675504
"기아 EV3, 유럽 수출 급증…""내년엔 EV2도 투입""",뉴시스,20241229,https://www.newsis.com/view/NISX20241227_0003012662
"현대차·기아, 완성차 생애주기 모든 탄소배출 관리한다",연합뉴스,20241230,https://www.yna.co.kr/view/AKR20241230022400003?input=1195m
"현대글로비스, 현대차·기아와 6.7조 해상운송 계약",한국경제,20241231,https://www.hankyung.com/article/2024123190731
