제목,언론사,날짜,링크
KT vs LGU+ '2위 이통사 논란' 끝났다(종합),아이뉴스24,20240315,http://www.inews24.com/view/1697853
"프로농구 kt, 삼성 꺾고 연패 탈출…2위와 0.5경기차",연합뉴스,20240316,https://www.yna.co.kr/view/AKR20240316039200007?input=1195m
"KT, 30만원대 '갤럭시 A15 LTE' 출시",지디넷코리아,20240317,https://zdnet.co.kr/view/?no=20240317090722
"KT, 로보라이즌과 로봇·코딩 교육사업 협력",연합뉴스,20240318,https://www.yna.co.kr/view/AKR20240318031600017?input=1195m
"KT, 도로명주소 확산 대구·경북 설명회",뉴시스,20240319,https://www.newsis.com/view/?id=NISX20240319_0002666330&cID=10810&pID=10800
작년 이통사 연봉킹은 누구? 구현모 전 KT 대표 '30.7억',아이뉴스24,20240320,http://www.inews24.com/view/1699481
"""韓 클라우드 시장 살릴 것""…kt클라우드, 중기 돕기 앞장",지디넷코리아,20240321,https://zdnet.co.kr/view/?no=20240321110434
"KT, 판교 오픈 이노베이션 센터 개소…""스타트업 키운다""",지디넷코리아,20240322,https://zdnet.co.kr/view/?no=20240322111952
"통신 3사, '번호이동 지원금' 상향…KT 최대 33만원(종합)",뉴스1,20240323,https://www.news1.kr/articles/5360343
"KT, 대동과 손잡고 '애그테크' 시장 개척",파이낸셜뉴스,20240324,http://www.fnnews.com/news/202403241835563606
[단독] 이번엔 1000억대…건설사-KT 공사비 갈등 ‘점입가경’,서울경제,20240325,https://www.sedaily.com/NewsView/2D6RTOE0OV
"KT, 과기정통부 '中企 클라우드 보급' 함께한다",뉴시스,20240326,https://www.newsis.com/view/?id=NISX20240326_0002674793&cID=13004&pID=13100
KT클라우드 수장 교체…최지웅 오픈소스컨설팅 CTO 영입,뉴시스,20240327,https://www.newsis.com/view/?id=NISX20240326_0002675807&cID=10406&pID=13100
[단독]인천·경남 사전투표소 '몰카' 발견…'KT통신' 스티커 붙여 위장,중앙일보,20240328,https://www.joongang.co.kr/article/25238740
"KT ""AICT기업으로 본격적 도약…파트너와 동반성장할 것""",뉴시스,20240329,https://www.newsis.com/view/?id=NISX20240329_0002680284&cID=10406&pID=13100
"한화 독수리, 끝없이 비상한다…kt 잡고 파죽의 6연승",연합뉴스,20240330,https://www.yna.co.kr/view/AKR20240330041100007?input=1195m
"KT, 전국 매장서 '갤럭시 AI 기능' 업데이트 지원",지디넷코리아,20240331,https://zdnet.co.kr/view/?no=20240331092219
"KT, 멤버십 전 등급 할인 기회 늘린다",지디넷코리아,20240401,https://zdnet.co.kr/view/?no=20240401091239
"현대차그룹, '졸지에' KT 최대주주 되나…일각선 지분매각 전망",한국경제,20240402,https://www.hankyung.com/article/202404024894i
"삼성證 ""KT, 최대주주 변경 이슈에도 내부 사업 차질 無""",뉴시스,20240403,https://www.newsis.com/view/?id=NISX20240403_0002685625&cID=10403&pID=15000
