제목,언론사,날짜,링크
"[강세 토픽] 방위산업 테마, 스페코 +6.04%, 한국항공우주 +5.97%",조선비즈,20200420,https://biz.chosun.com/site/data/html_dir/2020/04/20/2020042001994.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"'LIG넥스원' 5% 이상 상승, 주가 상승 중, 단기간 골든크로스 형성",한국경제,20200421,https://www.hankyung.com/finance/article/202004214408L
"빅텍 스페코 퍼스텍 LIG넥스원 주가 장중 급등, 방위산업주 강세",비즈니스포스트,20200422,http://m.businesspost.co.kr/BP?command=mobile_view&idxno=174906
"[강세 토픽] 방위산업 테마, 빅텍 +9.24%, 평화산업 +9.20%",조선비즈,20200423,https://biz.chosun.com/site/data/html_dir/2020/04/23/2020042300942.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"LIG넥스원, 34년 연속 무분규 임단협 타결",뉴시스,20200424,http://www.newsis.com/view/?id=NISX20200424_0001005548&cID=13001&pID=13000
"LIG넥스원, 34년 연속 무분규 임단협 타결",일요서울,20200425,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=385662
"LIG넥스원, 34년 연속 무분규 임금 및 단체협약 타결",이코노뉴스,20200426,http://www.econonews.co.kr/news/articleView.html?idxno=117910
한화시스템 vs LIG넥스원...6700억 '미니 이지스함' 두뇌 수주전 승자는...,아시아투데이,20200427,http://www.asiatoday.co.kr/view.php?key=20200427010016448
LIG넥스원 개발 ‘천궁’… 군 전력화 마무리,아시아경제,20200428,https://view.asiae.co.kr/article/2020042809315440223
"LIG넥스원-성우엔지니어링, 드론·무인기 기술 개발 협력",뉴시스,20200429,http://www.newsis.com/view/?id=NISX20200429_0001009704&cID=13001&pID=13000
"LIG넥스원-성우엔지니어링, 드론·무인기분야 업무협약 체결",시사매거진,20200430,http://www.sisamagazine.co.kr/news/articleView.html?idxno=319321
"[fn마켓워치]LIG넥스원, 이달 1500억 규모 공모 회사채 발행",파이낸셜뉴스,20200501,http://www.fnnews.com/news/202004290925118889
"LIG넥스원-성우엔지니어링, 드론·무인기 분야 MOU 체결",더퍼블릭,20200502,http://www.thepublic.kr/news/newsview.php?ncode=1065600601922790
"LIG넥스원-성우엔지니어링, 업무협약 체결",이코노뉴스,20200504,http://www.econonews.co.kr/news/articleView.html?idxno=118904
[표][(최근 10일) 하락 종목 코스피 Top 10] 진원생명과학 -24.25% ↑ 하락...,파이낸셜포스트,20200505,http://www.fintechpost.co.kr/news/articleView.html?idxno=112603
[표][(최근 3일) 하락 종목 코스피 Top 10] 휴니드 -14.41% ↑ 하락 종목...,파이낸셜포스트,20200506,http://www.fintechpost.co.kr/news/articleView.html?idxno=112696
"스페코, +3.74% 상승폭 확대",조선비즈,20200507,https://n.news.naver.com/article/366/0000519943?sid=004
"KAI, 직원 1인당 평균 연봉 방산업계 1위…증가율도 최고",CEO스코어데일리,20200508,http://m.ceoscoredaily.com/m/m_article.html?no=69219
