Actual,Predicted,Error%
19370.0,20323.17,-4.920856592023748
18340.0,20283.785,-10.598610448473282
18050.0,20031.92,-10.980165772160664
18120.0,19653.264,-8.461720043460264
17980.0,19301.02,-7.347160907953282
17560.0,19070.951,-8.604505534595672
17610.0,18876.56,-7.1922802207552525
18100.0,18652.807,-3.0541803349447516
17950.0,18553.87,-3.3641734853760443
18000.0,18589.996,-3.2777560763888887
17250.0,18705.48,-8.437567934782608
17030.0,18687.258,-9.731402304756312
16900.0,18459.854,-9.229902459319526
16970.0,18173.662,-7.092882200206247
16940.0,17913.09,-5.744332017414404
17090.0,17795.578,-4.128602252779403
17230.0,17779.225,-3.187606554701103
17550.0,17801.748,-1.4344618055555556
18200.0,17821.576,2.0792518028846154
18290.0,17920.176,2.0220022895024603
18210.0,18085.06,0.6861035317133444
16280.0,18225.652,-11.951181472665848
17230.0,18085.379,-4.96447420922809
17160.0,17820.084,-3.8466432655885776
17310.0,17730.293,-2.428035636915078
17370.0,17707.588,-1.9435111722797926
17570.0,17716.35,-0.8329516754410928
17500.0,17759.162,-1.4809263392857142
17630.0,17907.61,-1.5746419455473626
17940.0,17959.02,-0.10601745401337792
17920.0,18006.95,-0.4852076939174107
17800.0,18032.049,-1.3036451018258428
17820.0,18021.977,-1.1334262766554435
17970.0,17994.898,-0.13855557874234836
17630.0,17985.18,-2.014632373794668
17700.0,17931.268,-1.3065964865819208
17360.0,17815.307,-2.622734104982719
17380.0,17683.785,-1.7479007839470657
17100.0,17587.412,-2.8503632127192984
16970.0,17501.123,-3.12977635164997
16710.0,17433.672,-4.330771244763615
16900.0,17384.838,-2.868863258136095
16370.0,17307.361,-5.7260924137141105
16800.0,17164.863,-2.1718052455357144
16270.0,16993.723,-4.448203173017824
16270.0,16853.236,-3.5847346535033804
16530.0,16682.258,-0.9210998941318814
16490.0,16540.74,-0.3077030586719224
16550.0,16460.482,0.5408917107250755
16860.0,16472.27,2.2997062203440093
17310.0,16543.826,4.426191959127672
17630.0,16708.031,5.2295448099829835
17730.0,16949.213,4.403762602227863
18220.0,17188.625,5.660675082327113
18460.0,17421.756,5.624291119312026
18680.0,17677.762,5.3653012914882225
18860.0,17946.043,4.846007588812301
18530.0,18207.824,1.738671242579601
17990.0,18389.7,-2.221785540578099
17100.0,18411.2,-7.667831688596491
17040.0,18209.36,-6.862437646713615
17060.0,17868.04,-4.7364540592028135
16870.0,17555.344,-4.0625
16870.0,17341.926,-2.7974260892116183
17240.0,17228.912,0.06431491081786543
17040.0,17206.459,-0.9768719740316902
17360.0,17229.803,0.7499842489919355
17450.0,17303.547,0.8392729226361032
17180.0,17449.693,-1.5698100080034922
17450.0,17563.32,-0.6494000716332379
17160.0,17657.213,-2.897511017628205
17050.0,17668.547,-3.627840909090909
17050.0,17607.713,-3.271043346774193
16830.0,17512.92,-4.0577535464943555
17290.0,17379.336,-0.5166913678426835
17360.0,17302.848,0.32921856998847926
17270.0,17315.406,-0.2629198031268095
17120.0,17352.094,-1.3556877920560748
17070.0,17381.521,-1.8249647590802578
17860.0,17400.545,2.572536831606943
17840.0,17558.545,1.5776629939742153
17080.0,17759.783,-3.9799953344555035
17100.0,17759.7,-3.857890168128655
17050.0,17651.412,-3.5273437499999996
15749.999999999998,17491.371,-11.056324404761918
16020.0,17192.816,-7.3209513498751555
17020.0,16800.309,1.290783820505288
17620.0,16648.004,5.516436400397276
18240.0,16844.242,7.652180989583333
18060.0,17288.697,4.270779260105205
18320.0,17718.387,3.283915290665939
18320.0,18041.195,1.5218596479257642
18700.0,18258.32,2.3619234625668453
18590.0,18434.81,0.8348007161108123
18880.0,18607.412,1.4437917935646187
18500.0,18750.807,-1.355711570945946
18520.0,18859.295,-1.8320460144438444
18620.0,18868.38,-1.3339466131847475
17960.0,18888.38,-5.169158459771715
17650.0,18810.467,-6.57488270184136
18150.0,18627.094,-2.6286157024793386
17820.0,18479.346,-3.7000320040684627
18210.0,18411.01,-1.103842754667765
18000.0,18419.59,-2.3310546875
17800.0,18469.059,-3.758756144662921
18360.0,18422.6,-0.3409564780773421
18770.0,18426.867,1.8280917021843368
18630.0,18535.508,0.5072044417606012
18800.0,18668.307,0.7004965924202128
18490.0,18746.504,-1.3872574702541913
18300.0,18745.49,-2.434372865437158
18210.0,18645.92,-2.3938491042009886
17970.0,18483.062,-2.855105731775181
18400.0,18286.777,0.615340523097826
17970.0,18198.215,-1.2699768711741792
